Player Name,Archetype,Minutes Played,Three-Point Field Goals Made,Three-Point Field Goals Attempted,Two-Point Field Goals Made,Two-Point Field Goals Attempted,Free Throws Made,Free Throws Attempted,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls
Bojan Bogdanovi?,3,78.0,7.0,17.700000000000003,9.3,18.3,6.2,7.9,1.2,6.8999999999999995,5.1000000000000005,1.5,0.2,5.3999999999999995,5.0
Bruce Brown,3,83.6,2.4,7.4,10.1,18.7,5.2,6.4,2.4000000000000004,10.3,8.6,2.7,0.8,3.8,6.7
Buddy Hield,3,77.2,7.800000000000001,20.3,5.5,10.3,1.9,2.1,2.2,7.4,8.5,2.4000000000000004,1.4,3.7,6.1
Chimezie Metu,3,58.3,1.8,6.3,6.4,10.1,3.5,4.0,2.6,10.1,3.3,3.0,1.0,3.5,4.8
Dalano Banton,3,55.699999999999996,3.1,10.5,7.5,16.0,5.0,6.3,2.3,7.3,6.8,1.7,1.1,4.0,3.5
Dennis Schr̦der,3,93.7,5.3,14.0,9.899999999999999,21.2,6.5,7.800000000000001,1.5,7.699999999999999,18.2,2.3,0.7,5.9,6.2
Gordon Hayward,3,73.5,2.2,5.3,8.9,18.5,5.2,7.1,2.2,8.5,9.299999999999999,2.4000000000000004,0.8,3.9,3.9000000000000004
Grant Williams,3,85.0,5.0,13.2,6.5,11.399999999999999,4.5,5.9,3.5,9.5,7.2,1.7999999999999998,1.5,4.4,9.0
Immanuel Quickley,3,86.5,7.4,18.9,9.5,20.2,9.1,10.7,0.8,10.5,14.2,2.1,0.4,4.3,5.3
Jordan Goodwin,3,61.7,2.4,8.1,5.8,14.5,2.5,3.5,5.3,10.0,9.2,2.9,1.0,3.3,4.3
Kelly Olynyk,3,69.4,2.4,6.2,8.8,13.9,6.0,7.199999999999999,4.3,11.7,13.4,2.9,1.2,6.0,9.0
Kyle Lowry,3,84.6,4.9,12.5,3.2,6.300000000000001,3.2,3.8,1.7,7.9,12.8,3.0,1.1,4.199999999999999,7.199999999999999
OG Anunoby,3,102.19999999999999,6.1,15.8,10.9,18.7,4.0,5.4,2.8,9.6,6.300000000000001,4.1,2.2,4.9,7.199999999999999
P.J. Washington,3,91.8,5.4,17.0,9.0,16.1,4.0,5.9,3.5,13.7,5.6,3.1,2.4,3.8,6.8
Royce O'Neale,3,74.3,6.0,15.9,2.3,4.6,0.8999999999999999,1.2000000000000002,2.3,12.2,8.3,2.3,1.7,2.6,6.4
Simone Fontecchio,3,78.4,6.5,16.1,6.2,11.3,2.8,3.4000000000000004,2.8,8.9,4.8,2.2,1.0,3.1,5.1
Spencer Dinwiddie,3,83.2,4.8,13.8,4.7,10.0,6.4,7.8999999999999995,1.0,6.6,13.1,2.0,1.0,3.5,5.5
Terry Rozier,3,100.4,7.3,20.1,14.399999999999999,28.9,8.4,9.7,1.7999999999999998,10.4,16.799999999999997,3.1,1.0,5.2,5.0
Tre Mann,3,64.3,3.1,8.4,6.4,12.2,2.8000000000000003,3.6,1.4,8.5,10.7,3.0999999999999996,0.2,4.3,3.0
